"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData","summRanking","totalRanking"
"1",0,"ALL","ALL","","","","","",43374.4338342245,43390.7706598611,8912,0.975763016157,0.020009199632,5.82241961897352,4.50500011444092,0.01287948482,84730,3.57925,4.03,0.021326566741,7329,7311,0.955806010928,4.06634,31.1339123872527,75.987142,2.076022,16.4580488634738,35.163544,52534,0.967506757528,59,7139,0.963160106457,3.20000004768372,3.82382197150177,1.470463,0.005090168702,7457,0.952393724017,4.74250633624333,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2",100,"ALL","Drive","City","","","","",43374.4338342245,43390.6272290394,4425,0.989378531073,0.008679762448,5.61590474955618,4.58300018310547,0.006852444038,43213,3.637773,4.03,0.013977275356,3704,3696,0.978783783783,4.63701,30.3223611965575,72.687981,2.584575,15.8946095889262,28.83044,26648,0.985177123986,56,3605,0.980305131761,3.20000004768372,3.83106959237173,1.404261,0.003961516694,3792,0.974947257383,4.65947957803624,4425,43213,7400,26648,3605,3792,58.0743879470833,68.490178164,16.7681905008876,7.71585198733333,6.41699981689453,6.36911722222222,8.6022724644,4.0375,17.1711711710667,11.075442,5.51540718038224,4.105733175,12.6213129,5.84205697220788,3.8128704,81.1062743916,3.13333333333333,47.7785483123667,8.00000011920929,9.07767398092932,2.0478695,2.1038483306,24.9894514766,14.0107806329456,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,30.9010423051155,19.0088896866222,176.474498102821,20.6965823553823,22.2762402722079,60.1439937986568,84.2396077249334,69.0079402431053,39.0002321095456,252.391773876241,37.5,25,200,30,30,80,95,80,45,300,428.866271979062,500
"3",200,"ALL","Walk","City","","","","",43374.4642180787,43385.3752363657,2394,0.989139515455,0.011402027027,5.51284290830026,4.40269989967346,0.010979729729,23274,3.667111,4.03,0.011815760075,1966,1960,0.973255221599,5.280695,42.3558501713396,92.9757,2.678531,21.5077849791884,48.369294,13997,0.979495606201,54,1915,0.978590078328,3.29999995231628,3.87305227427752,1.37549,0.001600853788,2002,0.963036963036,4.43694346473029,2394,23274,3926,13997,1915,2002,28.987399053125,33.224239864875,8.48715709169974,3.17004504516667,3.29865005016327,3.24160472222222,4.40921199625,2.01875,8.21701477326667,6.317683785,3.73631935680815,2.13739875,6.322494906,3.74649003685831,2.15307745,38.8486818603,1.6,23.5748476934667,4.12499994039536,4.5913153428469,1.0311275,1.1699573106,11.5084915084235,7.17229240145228,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,14.9558521870297,9.66956671847222,86.8370578235019,12.1914018918082,12.2220623928583,32.6304790579331,40.4486818603,34.4922477873089,18.6807839098758,126.252192615418,18.75,12.5,100,15,15,40,47.5,40,22.5,150,213.08925043892,250
"4",300,"ALL","Drive","Connecting Roads","","","","",43374.6253149421,43390.7706598611,1470,0.955782312925,0.031316725978,6.41484413180911,4.62639989852905,0.019928825622,13531,3.425995,4.02,0.029783460202,1208,1203,0.916217337204,3.882674,21.8136775222817,47.630208,1.433396,12.8045048158131,27.258618,8693,0.936730702864,73,1198,0.931552587646,3.09999990463257,3.78467740070435,1.61612,0.008960573476,1213,0.910140148392,5.29894202898551,1470,13531,2411,8693,1198,1213,13.222789115625,15.45373665495,4.46812469455271,1.0071174378,1.91208003044128,1.66366083333333,2.10649619394,1.2075,3.28143069752471,2.37216924,1.15753589735435,0.903124992,1.76411844,1.4008205482618,1.068413664,17.3728422462494,0.77,10.2146715113365,2.19999980926514,2.68850805052827,0.587332363636364,0.547192353653333,4.66475922601412,3.91547608695652,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,7.38732216279399,4.97765702727333,41.0415049606423,4.43283012935435,4.2333526522618,11.9476134791409,18.1428422462494,16.2377040884196,8.58023531297064,54.9083951267805,11.25,7.5,60,9,9,24,28.5,24,13.5,90,95.9499000874228,150
"5",400,"ALL","Walk","Train Route","","","","",43374.5738776389,43385.6918686574,623,0.874799357945,0.119266055045,7.29919633209159,4.56899995803833,0.051376146788,4712,3.048662,3.99,0.111417657045,451,452,0.797342192691,1.141716,9.41111221635884,22.028228,1.062649,7.01966489583333,15.882508,3196,0.851376720901,80,421,0.836104513064,3,3.61306816881353,2.178948,0.022727272727,450,0.828888888888,5.49792225201072,623,4712,903,3196,421,450,6.9919743178,3.0733944955,2.50709528955115,0.97247706424,1.28620000839233,0.815626,0,0.78,2.378737541528,0.821396480000001,0.592888977308707,0.302724053333333,1.92050858666667,0.963146383333334,0.336545648484848,12.649561952436,0.466666666666667,7.394299287408,1.33333333333333,1.70653408440677,0.350621963636364,0.377104377105185,3.946666666656,2.55062332439678,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,4.76577236218349,1.595626,16.4267671754835,1.71700951064204,3.22020061848485,7.31594767065489,13.1162286191027,11.1618930458897,6.49728999105279,38.0913593267,7.5,5,40,6,6,16,19,16,9,60,54.5181265021835,100
"6",601,"Ericsson","Drive","City","","","","",43382.5051163542,43389.3102993171,1809,0.986733001658,0.010644257703,5.55690028219998,4.49380016326904,0.006162464985,17579,3.643667,4.03,0.013254451333,1524,1522,0.979645436638,4.28822,25.763744649898,57.44796,2.608713,15.0851776333789,27.714755,10937,0.986833683825,53,1528,0.975785340314,3.20000004768372,3.82568744650469,1.399336,0.003353454057,1539,0.979857050032,4.63189854111406,4425,43213,7400,26648,3605,3792,56.9720840241667,67.01680672275,16.8861994356,7.945845005,6.50619983673096,6.39203833333333,8.6745548667,4.0375,17.2860582184,9.610524,4.62767658971699,3.7958368,12.627395676,5.53488792241047,3.6343608,82.100210295,3.23333333333333,46.1212914484667,8.00000011920929,9.06421861626173,2.050332,2.1646545943,25.9714100064,14.0521521883289,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,31.338244277331,19.1040932000333,174.431228224281,18.034037389717,21.7966443984105,57.1167400065275,85.3335436283334,67.4004967782377,40.0235621947289,249.874342607827,37.5,25,200,30,30,80,95,80,45,300,424.305570832108,500
"7",602,"Huawei","Drive","City","","","","",43374.4338342245,43390.6272290394,2616,0.99120795107,0.007327419976,5.65652294247205,4.64619989395142,0.007327419976,25634,3.633732,4.03,0.014472965592,2180,2174,0.978180983004,4.97608,33.4691115204129,80.03466,2.555398,16.4543964947966,30.564499,15711,0.984023932276,58,2077,0.983630235917,3.09999990463257,3.83499753142594,1.407856,0.004405286343,2253,0.97159343098,4.67848012791228,4425,43213,7400,26648,3605,3792,58.8366462791667,69.504435018,16.6869541150559,7.55752667466667,6.35380010604858,6.35340222222222,8.5527034408,4.0375,17.0907977338667,12.499536,6.12819540134356,4.1669555,12.613960296,6.0544889262305,4.00940831666667,80.4143593656,3.06666666666667,48.9977531695667,7.33333269755045,9.08749382856484,2.046072,2.0594713657,24.318686196,13.9822798081316,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,30.5982808957712,18.9436056630222,177.88296785596,22.7946869013436,22.6778575388972,62.5633421741074,83.4810260322667,69.524123061382,38.3009660041316,253.869457271888,37.5,25,200,30,30,80,95,80,45,300,431.752425127848,500
"8",701,"Ericsson","Walk","City","","","","",43374.7645052893,43382.5796573727,936,0.987179487179,0.016233766233,5.48825649678449,4.39460000991821,0.006493506493,9039,3.665344,4.03,0.009293063391,754,751,0.964119601328,4.682012,43.3031552232748,99.143396,2.285382,21.0549357859079,48.640054,5375,0.97488372093,57,732,0.968579234972,3.20000004768372,3.85416076751623,1.422369,0.001410437235,768,0.959635416666,4.71878697421981,2394,23274,3926,13997,1915,2002,28.5790598289583,31.412337662625,8.51174350321551,3.91774891783333,3.30269999504089,3.23816888888889,4.5795303685125,2.01875,7.72327535661177,5.6322252,3.75092364302549,2.16309748333333,5.6239533,3.73252718673216,2.15533378333333,37.465116279,1.55,21.8161362904941,4.00000005960464,4.56770095939529,1.01940775,1.17947813825,11.2683823528941,6.96090976933514,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,15.7321924160897,9.83644925740139,85.5600391650745,11.5462463263588,11.5118142700655,30.7813359530361,39.015116279,32.5827231977441,18.2292921222293,120.608467552009,18.75,12.5,100,15,15,40,47.5,40,22.5,150,206.168506717084,250
"9",702,"Huawei","Walk","City","","","","",43374.4642180787,43385.3752363657,1458,0.990397805212,0.008310249307,5.52857548741423,4.40989999771118,0.013850415512,14235,3.668233,4.04,0.013417632595,1212,1209,0.978934324659,5.39077,41.7660789553497,90.7132920000001,2.89894,21.790050777027,48.167188,8622,0.982370679656,53,1183,0.984784446322,3.29999995231628,3.88454933719062,1.346961,0.001716738197,1234,0.965153970826,4.26253652392947,2394,23274,3926,13997,1915,2002,29.2495427525,34.383656509875,8.47142451258577,2.69159741466667,3.29505000114441,3.24378638888889,4.32911837025,2.025,8.59562164393333,6.32461851,3.72722705056164,2.12797205,6.35026644,3.75519323229167,2.15139323333333,39.7112038968,1.61666666666667,24.7104818257,4.12499994039536,4.60568667148827,1.03825975,1.16416309015,11.6579273524235,7.3030976070529,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,14.4580719283968,9.59790475913889,87.6891759499107,12.1798176105616,12.256852905625,33.03229216012,41.3278705634667,35.6435912777336,18.9610249594764,128.964778960797,18.75,12.5,100,15,15,40,47.5,40,22.5,150,216.653954910707,250
"10",801,"Ericsson","Drive","Connecting Roads","","","","",43382.4958571181,43389.6913868982,485,0.973195876288,0.031779661016,6.37970340656022,4.45840015411377,0.023305084745,4545,3.451905,4.02,0.028162816281,417,417,0.938848920863,3.237608,20.4014648329049,44.239408,1.589073,12.2077363874346,27.449802,2983,0.957090177673,66,415,0.927710843373,3.09999990463257,3.76727271080017,1.498779,0.002597402597,428,0.939252336448,5.3647736318408,1470,13531,2411,8693,1198,1213,15.399484536,15.3495762714,4.49623727475183,0.6694915255,1.96247995376587,1.69388916666667,2.15511551157,1.2075,3.92044011848471,1.55938608,1.07503294550129,0.821745792,2.05834797,1.33288075795409,1.077590496,19.9596931631576,0.84,9.91637136778589,2.19999980926514,2.67545453310013,0.60018315,0.67207792209,5.89774601426824,3.88585186567164,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,7.1282087540177,5.05650467823667,42.9337742396544,3.45616481750129,4.46881922395409,11.8454241599401,20.7996931631576,16.0640867822412,9.78359787993988,58.4928019852788,11.25,7.5,60,9,9,24,28.5,24,13.5,90,101.426576224933,150
