"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData"
"1",0,"ALL","ALL","","","","","",43222.5191812847,43271.6737615856,15516,0.980536220675,0.014131720783,4.88247586826552,3.66400003433228,0.012605316439,149732,4.139535,4.63,0.019160900809,12846,12824,0.980366186209,4.278,36.6677421089644,93.683151,4.643372,18.7988729589362,33.176842,91372,0.985652059711,40,12587,0.983872249145,3.70000004768372,3.92339548926791,1.346943,0.003472222222,13077,0.979047182075,4.86351862844647,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",100,"ALL","Drive","City","","","","",43222.5963198843,43271.6737615856,8659,0.991569465296,0.003494060097,4.56950081123553,3.65000009536743,0.005220417633,85538,4.238334,4.63,0.008627744394,7318,7309,0.993710261844,5.45596,40.2797154552834,100.8843,5.15994,19.5289852777397,33.10814,52053,0.996407507732,37,7158,0.995110366024,3.79999995231628,3.93986473541388,1.267878,0.001403902849,7477,0.991841647719,4.69816734088457,8659,85538,14627,52053,7158,7477,58.9872772066667,72.37945492725,18.8609983775289,8.259860789,7.34999990463257,8.095835,9.30875751135,4.7875,19.1613682458667,12.65745096,7.40862455987124,4.3407025,13.27030488,7.2212559515525,4.05180233333333,87.8445046392,3.76666666666667,53.2071342088,9.49999988079071,9.34966183853471,2.116061,2.3596097151,28.3683295438,13.9527489886731,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,34.4708590711615,22.19209251135,188.029683716428,24.4067780198712,24.5433631648858,68.1115094306237,91.6111713058667,76.5324666432254,42.3210785324731,278.576225912189,37.5,25,200,30,30,80,95,80,45,300
"3",200,"ALL","Walk","City","","","","",43224.7203942593,43253.6828751157,2150,0.990232558139,0.005636449037,4.81581848390107,3.68219993114471,0.005628517823,21097,4.259645,4.63,0.006588614494,1807,1800,0.980593290823,6.807262,51.9448073487848,103.982636,4.359735,22.3234804530011,46.600995,12851,0.989806240759,43,1760,0.994886363636,3.79999995231628,3.97939175425224,1.338092,0.002284408909,1825,0.98301369863,4.90499498327759,2150,21097,3607,12851,1760,1825,29.2151162789583,35.386331611125,9.18418151609893,4.06191369616667,3.65890003442764,4.07455625,4.883780869425,2.39375,8.7062193882,6.413857506,3.88414911329377,2.18326098333333,6.53432661,3.77164064730087,2.138341625,41.9418722277,1.78333333333333,26.5624999999333,4.74999994039536,4.7242396928153,1.040477,1.13577955455,13.301369863,6.82125376254181,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,16.9049952466932,11.352087119425,92.8585302562016,12.4812676026271,12.4443088823009,33.631795873128,43.7252055610333,38.212996187694,20.1226236255418,135.692621247397,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"4",300,"ALL","Drive","Connecting Roads","","","","",43222.5191812847,43270.5525756944,3402,0.980893592004,0.012586155229,4.9087042932073,3.64000010490417,0.011911852293,32916,4.043398,4.63,0.022420707254,2820,2814,0.974618388356,4.89693,26.0600763552725,56.08145,4.867796,17.3980089560243,27.79554,20035,0.978587471924,37,2805,0.981818181818,3.70000004768372,3.91887797262674,1.339611,0.004357298474,2866,0.968248429867,4.88893225225226,3402,32916,5634,20035,2805,2866,16.3616990005,19.668115073475,5.45477742407562,1.8088147707,2.20799996852875,2.2825485,2.32737878238,1.43625,4.98473553424,3.6501318,1.40561498707118,1.1059548,3.9590053776,1.92377332730123,1.09418592,23.14574494632,1.13,14.49999999998,2.77500003576279,2.78915847947005,0.62405835,0.61928104578,7.12581585319059,4.09998048648648,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,9.47159216330437,6.04617728238,51.5475835196594,6.16170158707118,6.97696462490123,18.1234017462124,24.27574494632,21.3074979109928,11.2257963396771,74.9324409432023,11.25,7.5,60,9,9,24,28.5,24,13.5,90
"5",400,"ALL","Walk","Train Route","","","","",43222.6446885764,43252.5586034606,1305,0.890421455938,0.112736660929,7.1738026660249,3.84699988365173,0.079933388842,10181,3.371381,4.59,0.123170611924,901,901,0.889567147613,0.875581,11.7788951572327,28.846633,2.09965,10.6039329645542,20.64921,6433,0.912327063578,65,864,0.875,3,3.65498456406215,2.1391,0.022486772486,909,0.899889988998,6.18541809290953,1305,10181,1802,6433,864,909,7.61685823752,3.7263339071,2.57397191145339,0.40133222316,1.43060002326965,1.06662966666667,0,0.9475,3.116537180904,0.48074368,0.782311612578617,0.423940142222222,2.64700416,1.4544943911493,0.452102060606061,14.843774288808,0.566666666666667,8.25,1.33333333333333,1.72749228203107,0.35352,0.377816970411852,4.798679867976,2.35055517522412,12.5,15,4,2,1.5,1.75,2.25,1,4,3.2,1.8,1,3.2,1.8,1,18,1,11,2,2,0.5,0.5,6,3,4.40590415788304,2.01412966666667,17.7632259691697,1.68699543480084,4.55360061175536,9.3571332274602,15.4104409554747,12.0421625857763,7.14923504320013,43.9589718119112,7.5,5,40,6,6,16,19,16,9,60
"6",601,"Ericsson","Drive","City","","","","",43234.8325938773,43271.6737615856,4491,0.989311957247,0.004951609273,4.82235749218555,3.89589991569519,0.006263982102,44199,4.15492,4.63,0.011764972058,3836,3834,0.990091264667,5.69544,44.4774516644686,111.14823,4.120369,17.0556111638388,28.274577,27415,0.994783877439,38,3682,0.994296577946,3.79999995231628,3.97850084076876,1.280013,0.001912045889,3932,0.988555442522,4.92395189091844,8659,85538,14627,52053,7158,7477,58.0466488529167,71.28629304525,18.3552850156289,7.912005966,7.10410008430481,7.8873,8.8235027942,4.7875,18.6788352889333,12.68762544,7.53805475965445,4.42623525,13.008332988,6.28264218525165,3.72393232,86.8703264634,3.73333333333333,52.9087452468667,9.49999988079071,9.4462521019219,2.1099935,2.3087954111,27.7110885044,13.6140721636223,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,33.3713910659337,21.4983027942,184.2026357583,24.6519154496544,23.0149074932517,66.3456582318394,90.6036597967333,76.2737861406793,41.3251606680223,274.548264837274,37.5,25,200,30,30,80,95,80,45,300
"7",602,"Huawei","Drive","City","","","","",43222.5963198843,43263.510055787,4168,0.994001919385,0.001930967897,4.29714674765805,3.55999994277954,0.004096385542,41339,4.327519,4.64,0.005273470572,3482,3475,0.997700158114,5.328558,35.8592660194445,89.64293,7.849414,22.1801836743393,41.355548,24638,0.998214140758,35,3476,0.995972382048,3.59999990463257,3.89900777940458,1.255046,0.000866551126,3545,0.995486600846,4.44947803910457,8659,85538,14627,52053,7158,7477,60.00079974375,73.55177407725,19.4057065046839,8.63453815266667,7.44000005722046,8.3187975,10.0634691213,4.8,19.6933544152,12.641398308,6.59364654062866,4.24702441666667,13.948052328,7.53444465991759,4.18925913333333,88.9284844548,3.83333333333333,53.5232067509333,8.99999976158142,9.24751944851145,2.122477,2.4133448874,29.0973201692,14.3257829413431,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,35.480244714571,23.1822666213,192.215085156871,23.4820692652953,25.6717561212509,68.8471798017463,92.7618177881333,76.3065478484262,43.4231031105432,281.338648548849,37.5,25,200,30,30,80,95,80,45,300
"8",701,"Ericsson","Walk","City","","","","",43224.7203942593,43251.4311336111,1450,0.995172413793,0.005544005544,5.03912240868617,3.86949992179871,0.007607192254,14321,4.233161,4.63,0.006493959919,1207,1201,0.97965116279,8.13626,56.3655150975403,107.741706,3.597296,21.3991734435963,44.810418,8630,0.989107763615,46,1162,0.994836488812,3.79999995231628,3.98999997540329,1.321626,0.000865051903,1222,0.97954173486,4.96716457811195,2150,21097,3607,12851,1760,1825,30.2442528735417,35.420997921,8.96087759131383,3.73213462433333,3.56525003910065,4.04145125,4.8944295091125,2.39375,8.64341085266667,6.49758438,3.95230169108708,2.198923775,6.438259296,3.74314118117755,2.12342015,41.7323290845,1.73333333333333,26.5533562822,4.74999994039536,4.73749996925411,1.0445935,1.20674740485,12.954173486,6.77462656641604,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,16.2582622547478,11.3296307591125,93.253143808402,12.6488098460871,12.3048206271776,33.5970413259313,43.4656624178333,38.2921970966995,19.728800052416,135.08370089288,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"9",702,"Huawei","Walk","City","","","","",43238.6573962847,43253.6828751157,700,0.98,0.00583090379,4.3451224558555,3.57200002670288,0.001457725947,6776,4.315621,4.64,0.006788665879,600,599,0.982485404503,5.788405,43.1108845762712,94.461247,7.247406,24.1799676149915,51.346248,4221,0.991234304667,37,598,0.994983277591,3.79999995231628,3.95878149601592,1.370084,0.005042016806,603,0.990049751243,4.78034338358459,2150,21097,3607,12851,1760,1825,27.0833333333333,35.31341107875,9.6548775441445,4.7570456755,3.71399998664856,4.14452625,4.8612750886125,2.4,8.8323603002,6.349669515,3.74795947055085,2.14358852916667,6.898173156,3.82888233479557,2.1778854,42.3702914001,1.88333333333333,26.58026755835,4.74999994039536,4.6984768700199,1.032479,0.9990662932,14.0049751243,6.91474246231156,31.25,37.5,10,5,3.75,4.375,5.625,2.5,10,7.875,4.625,2.5,7.875,4.625,2.5,45,2.5,27.5,5,5,1.25,1.25,15,7.5,18.1259232062931,11.4058013386125,91.9284689569889,12.2412175147175,12.9049408907956,33.9785187057131,44.2536247334333,38.0602896619653,20.9197175866116,137.212150687723,18.75,12.5,100,15,15,40,47.5,40,22.5,150
"10",801,"Ericsson","Drive","Connecting Roads","","","","",43234.7196304282,43270.5525756944,1427,0.967063770147,0.013768115942,5.44098996072794,3.95660004615784,0.018651362984,13597,3.828628,4.62,0.031183349268,1146,1142,0.961975524475,4.807465,26.462591238698,55.54164,3.385124,14.6230607310469,25.527221,8133,0.965695315381,43,1133,0.968225948808,3.79999995231628,3.95653142435722,1.439899,0.007292616226,1163,0.957007738607,5.09854627133872,3402,32916,5634,20035,2805,2866,14.632971268375,19.40217391305,5.13540602356324,1.1348637016,2.11301998615265,2.121471,2.06449952196,1.4325,4.57342657341177,3.5374059,1.42913033026078,1.09299936,3.8469153744,1.60785614476534,0.985306608,21.0530518366447,1.07,13.0622501427388,2.84999996423721,2.81739856826792,0.60901515,0.569431783653333,6.64973951747294,4.00565417789758,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,8.38328971131589,5.61847052196,48.0369054147009,6.05953559026078,6.44007812716534,17.0730402908379,22.1230518366447,19.9080956088973,10.6553936953705,69.7595814317504,11.25,7.5,60,9,9,24,28.5,24,13.5,90
