"","Rnk","Vendor","G_Level_1","G_Level_2","G_Level_3","G_Level_4","Fleet","WagonNumber","MinTimestamp","MaxTimestamp","CallAttempts","CallSetupSuccesRatio","CallDropRatio","CstAverage","CstPercentile10","CstPoorRatio","SpeechTestsAttempts","SpeechPolqaAverage","SpeechPolqaPercentile90","SpeechTestsPoorRatio","HttpFdfsDlAttemptsCount","HttpFdfsUlAttemptsCount","HttpFdfsCompletedRatio","HttpFdttDlMdrPercentile10","HttpFdttDlMdrAverage","HttpFdttDlMdrPercentile90","HttpFdttUlMdrPercentile10","HttpFdttUlMdrAverage","HttpFdttUlMdrPercentile90","HttpBrowsingAttemptsCount","HttpBrowsingCompletedRatio","HttpBrowsingTransferRttAverage","StreamingAttemptsCount","StreamingCompletedRatio","StreamingVmosPercentile10","StreamingVmosAverage","StreamingTtfpAverage","StreamingTtfpPoorRatio","ApplicationAttemptsCount","ApplicationCompletedRatio","ApplicationTransferTimeAverage","ModuleVoiceTests","ModulePOLQATests","ModuleHTTPTTests","ModuleHTTPBTests","ModuleVSLTBTests","ModuleMAFBBTests","ranCallSetupSuccesRatio","ranCallDropRatio","ranCstAverage","ranCstPoorRatio","ranCstPercentile10","ranSpeechPolqaAverage","ranSpeechTestsPoorRatio","ranSpeechPolqaPercentile90","ranHttpFdfsCompletedRatio","ranHttpFdttDlMdrPercentile10","ranHttpFdttDlMdrAverage","ranHttpFdttDlMdrPercentile90","ranHttpFdttUlMdrPercentile10","ranHttpFdttUlMdrAverage","ranHttpFdttUlMdrPercentile90","ranHttpBrowsingCompletedRatio","ranHttpBrowsingTransferRttAverage","ranStreamingCompletedRatio","ranStreamingVmosPercentile10","ranStreamingVmosAverage","ranStreamingTtfpAverage","ranStreamingTtfpPoorRatio","ranApplicationCompletedRatio","ranApplicationTransferTimeAverage","maxCallSetupSuccesRatio","maxCallDropRatio","maxCstAverage","maxCstPoorRatio","maxCstPercentile10","maxSpeechPolqaAverage","maxSpeechTestsPoorRatio","maxSpeechPolqaPercentile90","maxHttpFdfsCompletedRatio","maxHttpFdttDlMdrPercentile10","maxHttpFdttDlMdrAverage","maxHttpFdttDlMdrPercentile90","maxHttpFdttUlMdrPercentile10","maxHttpFdttUlMdrAverage","maxHttpFdttUlMdrPercentile90","maxHttpBrowsingCompletedRatio","maxHttpBrowsingTransferRttAverage","maxStreamingCompletedRatio","maxStreamingVmosPercentile10","maxStreamingVmosAverage","maxStreamingTtfpAverage","maxStreamingTtfpPoorRatio","maxApplicationCompletedRatio","maxApplicationTransferTimeAverage","summCST","summPOLQA","summVoice","summHttpTDL","summHttpTUL","summHttpT","summHttpB","summVSLVS","summAPPFB","summData","totalCST","totalPOLQA","totalVoice","totalHttpTDL","totalHttpTUL","totalHttpT","totalHttpB","totalVSLVS","totalAPPFB","totalData","summRanking","totalRanking"
"1",0,"ALL","ALL","","","","","",43353.2922021412,43355.9194175116,1504,0.996010638297,0.00600801068,4.04815687913602,3.43370003700256,0.002670226969,14862,4.390084,4.64,0.00598842686,1294,1291,0.998452611218,7.752252,52.007545806703,118.27223,6.580525,22.1315460584518,47.08327,9307,0.997636187815,33,1298,0.99845916795,3.90000009536743,3.994502282345,1.245,0.000771604938,1318,0.991654021244,4.40301989288446,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2",100,"ALL","Drive","City","","","","",43353.2922021412,43355.9194175116,1208,0.996688741721,0.005813953488,4.0018995077507,3.41129999160767,0.001661129568,11949,4.405859,4.64,0.005272407732,1036,1033,0.998066698888,9.03995,56.6844215512194,120.61057,6.286544,22.6946297532083,49.19899,7451,0.997584216883,32,1039,0.999037536092,3.90000009536743,3.99515892694451,1.241136,0.000963391136,1053,0.991452991452,4.45553352490421,1208,11949,2069,7451,1039,1053,61.1203090504167,70.639534884,19.9962009844986,9.446290144,7.5,8.5146475,10.0637082603,4.8,19.7422265184,13.1090337,7.9144363311626,4.50508808333333,13.554209088,7.56616883478118,4.31998316666667,88.5505301298,3.93333333333333,54.6470965670667,9.75000023841858,9.48789731736128,2.129432,2.4036608864,28.2905982904,14.3166997126437,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,36.9424911284986,23.3783557603,192.080690823215,25.5285581144959,25.4403610894479,70.7111457223438,92.4838634631334,78.4180870092465,42.6072980030437,284.220394197767,37.5,25,200,30,30,80,95,80,45,300,476.301085020983,500
"3",300,"ALL","Drive","Connecting Roads","","","","",43354.7363802315,43355.5231837731,296,0.993243243243,0.006802721088,4.23759182861873,3.54059998989105,0.006802721088,2913,4.325372,4.64,0.00892550635,258,258,1,5.50159,33.4269348062016,82.116037,7.607274,19.8769856521739,28.189056,1856,0.997844827586,35,259,0.996138996138,3.79999995231628,3.99186043314231,1.260542,0,265,0.992452830188,4.19456273764259,296,2913,516,1856,259,265,17.905405405375,20.9693877552,5.85744490282876,2.3197278912,2.23782000303268,2.494029,2.772528321375,1.44,6,3.798960102,1.8359946123623,1.2552900925,4.1661099144,2.20599528963211,1.113074688,26.61206896548,1.15,16.07528957518,2.84999996423721,2.84389532485674,0.6359187,0.75,8.54716981128,4.41244676806084,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.4149927970614,6.706557321375,55.9963432790114,6.8902448068623,7.48517989203211,20.3754246988944,27.76206896548,23.155103564274,12.9596165793408,84.2522138079892,11.25,7.5,60,9,9,24,28.5,24,13.5,90,140.248557087001,150
"4",601,"Ericsson","Drive","City","","","","",43353.2922021412,43354.8209425926,887,0.996617812852,0.007918552036,3.96982014125289,3.36500000953674,0.002262443438,8753,4.382743,4.64,0.005483834114,764,761,0.99868852459,10.431384,58.9104432582781,123.669996,5.741695,21.9263182573727,47.665935,5495,0.997998180163,32,767,1,3.90000009536743,3.99944586097961,1.257092,0.001303780964,776,0.99355670103,4.40344617380026,1208,11949,2069,7451,1039,1053,61.090755355,69.061085973,20,9.24585218733333,7.5,8.4568575,10.01613732435,4.8,19.825136612,13.284354384,7.98307200046357,4.5305833,13.41690714,7.51878962587132,4.29443225,88.7989080978,3.93333333333333,55,9.75000023841858,9.49861465244902,2.121454,2.3696219036,28.711340206,14.3948307392996,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,36.7458521873333,23.27299482435,190.170688339683,25.7980096844636,25.2301290158713,70.8532753123349,92.7322414311333,78.7396907944676,43.1061709452996,285.431378483235,37.5,25,200,30,30,80,95,80,45,300,475.602066822919,500
"5",602,"Huawei","Drive","City","","","","",43355.5187877431,43355.9194175116,321,0.996884735202,0,4.09051875770092,3.67320001125336,0,3196,4.46917,4.65,0.004693366708,272,272,0.996323529411,6.369677,50.4598052962963,102.332094,8.06384,24.8412978277154,52.68092,1956,0.996421267893,34,272,0.996323529411,3.79999995231628,3.98302579629905,1.195977,0,277,0.985559566787,4.60263736263737,1208,11949,2069,7451,1039,1053,61.2019730008334,75,19.8189624845982,10,7.32679998874664,8.672925,10.1939924907,4.8125,19.5098039214667,12.772579302,7.72251066330247,4.35276745,14.00208768,7.69854669937578,4.37801533333333,87.8527607358,3.86666666666667,53.6519607840333,9.49999988079071,9.45756449074763,2.1520115,2.5,27.1119133574,14.0960439560439,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,37.1457624733448,23.6794174907,197.027152964878,24.8478574153025,26.0786497127091,70.4363110494783,91.7194274024667,77.2615366555717,41.2079573134439,280.625232420961,37.5,25,200,30,30,80,95,80,45,300,477.652385385839,500
"6",801,"Ericsson","Drive","Connecting Roads","","","","",43354.7363802315,43355.4261231944,171,0.988304093567,0.011834319526,4.24913608534096,3.528600025177,0.005917159763,1666,4.248103,4.64,0.010804321728,144,144,1,5.628796,35.156131875,95.7004210000001,7.44146,19.0121012765958,27.9871,1024,0.99609375,34,145,0.993103448275,3.79999995231628,3.97569441629781,1.29375,0,144,0.993055555555,4.17908391608392,296,2913,516,1856,259,265,17.288011695875,19.83727810665,5.85051834879542,2.4082840237,2.2414199924469,2.43607725,2.67587034816,1.44,6,3.8037684888,1.93701612532895,1.2892510525,4.153574376,2.1075315299509,1.1033808,26.296875,1.16,15.74137931025,2.84999996423721,2.83177081222336,0.6309375,0.75,8.5833333333,4.41941223776224,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.5002223649423,6.55194759816,54.1774597656273,7.03003566662895,7.3644867059509,20.3945223725798,27.456875,22.8040875867106,13.0027455710622,83.6582305303527,11.25,7.5,60,9,9,24,28.5,24,13.5,90,137.83569029598,150
"7",802,"Huawei","Drive","Connecting Roads","","","","",43354.8770963542,43355.5231837731,125,1,0,4.22198399353027,3.58399991989136,0.008,1247,4.428604,4.65,0.006415396952,114,114,1,5.44795,31.242685877193,67.354281,8.574407,20.9658133035714,28.580085,832,1,37,114,1,3.90000009536743,4.0122806649459,1.218596,0,121,0.99173553719,4.21300833333333,296,2913,516,1856,259,265,18.75,22.5,5.86680960388184,2.2,2.22480002403259,2.571453,2.94196070574,1.44375,6,3.79693251,1.70838849072022,1.2183857025,4.2392251692,2.23786754611607,1.13184408,27,1.13,16.5,2.92500007152557,2.85921049870943,0.6422106,0.75,8.5041322314,4.40414625,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.2916096279144,6.95716370574,58.4987733336544,6.72370670322022,7.60893679531607,20.3326434985363,28.13,23.676421170235,12.9082784814,85.0473431501713,11.25,7.5,60,9,9,24,28.5,24,13.5,90,143.546116483826,150
"8",2100,"ALL","Drive","City","Big Cities","","","",43353.2922021412,43355.9194175116,1208,0.996688741721,0.005813953488,4.0018995077507,3.41129999160767,0.001661129568,11949,4.405859,4.64,0.005272407732,1036,1033,0.998066698888,9.03995,56.6844215512194,120.61057,6.286544,22.6946297532083,49.19899,7451,0.997584216883,32,1039,0.999037536092,3.90000009536743,3.99515892694451,1.241136,0.000963391136,1053,0.991452991452,4.45553352490421,1208,11949,2069,7451,1039,1053,61.1203090504167,70.639534884,19.9962009844986,9.446290144,7.5,8.5146475,10.0637082603,4.8,19.7422265184,13.1090337,7.9144363311626,4.50508808333333,13.554209088,7.56616883478118,4.31998316666667,88.5505301298,3.93333333333333,54.6470965670667,9.75000023841858,9.48789731736128,2.129432,2.4036608864,28.2905982904,14.3166997126437,62.5,75,20,10,7.5,8.75,11.25,5,20,15.75,9.25,5,15.75,9.25,5,90,5,55,10,10,2.5,2.5,30,15,36.9424911284986,23.3783557603,192.080690823215,25.5285581144959,25.4403610894478,70.7111457223438,92.4838634631334,78.4180870092465,42.6072980030437,284.220394197767,37.5,25,200,30,30,80,95,80,45,300,476.301085020983,500
"9",4100,"ALL","Drive","Connecting Roads","Highway","","","",43354.7955464583,43355.5231837731,253,0.99209486166,0.00796812749,4.25006373660023,3.53600001335144,0.00796812749,2485,4.321533,4.64,0.008853118712,222,222,1,5.26057,30.6784627027027,70.099744,7.594134,19.0449612442396,28.009244,1591,0.998114393463,36,223,0.995515695067,3.79999995231628,3.98558555422602,1.26027,0,226,0.995575221238,4.18951555555556,296,2913,516,1856,259,265,17.7618577075,20.70717131475,5.84996175803986,2.203187251,2.23919999599457,2.49114975,2.77741448694,1.44,6,3.789849546,1.67542597894737,1.22524936,4.1651165304,2.11127251088267,1.104443712,26.66059082334,1.14,16.00672645737,2.84999996423721,2.83918916566952,0.6359595,0.75,8.73451327428,4.414718,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,10.2923490050344,6.70856423694,55.4699422642244,6.69052488494737,7.38083275328267,20.07135763823,27.80059082334,23.0818750872767,13.14923127428,84.1030548231268,11.25,7.5,60,9,9,24,28.5,24,13.5,90,139.572997087351,150
"10",4200,"ALL","Drive","Connecting Roads","Roads","","","",43354.7363802315,43355.5145994213,43,1,0,4.16479069133138,3.54840006828308,0,428,4.347663,4.63,0.009345794392,36,36,1,9.862535,50.3758461111111,106.568215,9.21659,24.8922438888889,56.09481,265,0.996226415094,31,36,1,3.90000009536743,4.03055551979277,1.262222,0,39,0.974358974358,4.22444736842105,296,2913,516,1856,259,265,18.75,22.5,5.90112558520118,3,2.23547997951508,2.51074725,2.74415887854,1.43625,6,3.963803823,2.31597657652778,1.3164205375,4.287774204,2.31050651194444,1.33047405,26.32075471692,1.19,16.5,2.92500007152557,2.87291663984458,0.6356667,0.75,7.46153846148,4.39899868421053,18.75,22.5,6,3,2.25,2.625,3.375,1.5,6,4.725,2.775,1.5,4.725,2.775,1.5,27,1.5,16.5,3,3,0.75,0.75,9,4.5,11.1366055647163,6.69115612854,59.0777616932563,7.59620093702778,7.92875476594444,21.5249557029722,27.51075471692,23.6835834113702,11.8605371456905,84.5798309769529,11.25,7.5,60,9,9,24,28.5,24,13.5,90,143.657592670209,150
