 RNK , NAME ,D_CI_L,D_CR_L,W_CI_L,W_TR_L,D_CI_M,D_CR_M,W_CI_M,W_TR_M,D_CI_H,D_CR_H,W_CI_H,W_TR_H,D_CI_RP,D_CR_RP,W_CI_RP,W_TR_RP
1, CallSetupSuccessRatio ,0.850,0.850,0.850,0.700,0.970,0.970,0.970,0.950,1.000,1.000,1.000,1.000,62.500,18.750,31.250,12.500
2, DropCallRatio ,0.100,0.100,0.100,0.150,0.020,0.020,0.020,0.030,0.000,0.000,0.000,0.000,75.000,22.500,37.500,15.000
3, CallSetupTimeAverageValue ,12.000,12.000,12.000,12.000,6.000,6.000,6.000,6.000,4.000,4.000,4.000,4.000,20.000,6.000,10.000,4.000
4, CallSetupTimePoorRatio ,0.030,0.030,0.030,0.100,0.006,0.006,0.006,0.020,0.000,0.000,0.000,0.000,10.000,3.000,5.000,2.000
5, CallSetupTime10PercentileValue ,8.000,8.000,8.000,8.000,5.000,5.000,5.000,5.000,3.500,3.500,3.500,3.500,7.500,2.250,3.750,1.500
6, POLQAMOSAverageValue ,2.000,2.000,2.000,2.000,3.800,3.800,3.800,3.800,4.500,4.500,4.500,4.500,8.750,2.625,4.375,1.750
7, POLQAMOSPoorRatio ,0.100,0.100,0.100,0.100,0.010,0.010,0.010,0.010,0.000,0.000,0.000,0.000,11.250,3.375,5.625,2.250
8, POLQAMOS90PercentileValue ,3.600,3.600,3.600,3.600,4.000,4.000,4.000,4.000,4.800,4.800,4.800,4.800,5.000,1.500,2.500,1.000
9, HTTPTransferFDFSSuccessRatio ,0.800,0.800,0.800,0.500,0.970,0.970,0.970,0.900,1.000,1.000,1.000,1.000,20.000,6.000,10.000,4.000
10, HTTPTransferFDTTDLMDR10PercentileValue ,2.000,2.000,2.000,0.500,5.000,5.000,5.000,2.500,30.000,30.000,30.000,15.000,15.750,4.725,7.875,3.200
11, HTTPTransferFDTTDLMDRAverageValue ,2.000,2.000,2.000,2.000,40.000,40.000,40.000,20.000,100.000,100.000,100.000,50.000,9.250,2.775,4.625,1.800
12, HTTPTransferFDTTDLMDR90PercentileValue ,10.000,10.000,10.000,5.000,60.000,60.000,60.000,50.000,180.000,180.000,180.000,100.000,5.000,1.500,2.500,1.000
13, HTTPTransferFDTTULMDR10PercentileValue ,0.500,0.500,0.500,0.500,2.500,2.500,2.500,1.250,15.000,15.000,15.000,7.500,15.750,4.725,7.875,3.200
14, HTTPTransferFDTTULMDRAverageValue ,0.500,0.500,0.500,1.000,20.000,20.000,20.000,10.000,50.000,50.000,50.000,25.000,9.250,2.775,4.625,1.800
15, HTTPTransferFDTTULMDR90PercentileValue ,5.000,5.000,5.000,2.000,30.000,30.000,30.000,35.000,90.000,90.000,90.000,60.000,5.000,1.500,2.500,1.000
16, HTTPBrowsingTestSuccessRatio ,0.800,0.800,0.800,0.500,0.970,0.970,0.970,0.900,1.000,1.000,1.000,1.000,90.000,27.000,45.000,18.000
17, HTTPBrowsingTestRoundTripTime ,150.000,150.000,150.000,150.000,30.000,30.000,30.000,30.000,10.000,10.000,10.000,10.000,5.000,1.500,2.500,1.000
18, VideoStreamingTestSuccessRatio ,0.800,0.800,0.800,0.500,0.970,0.970,0.970,0.900,1.000,1.000,1.000,1.000,55.000,16.500,27.500,11.000
19, VideoStreamingVideoMOS10PercentileValue ,2.000,2.000,2.000,2.000,3.200,3.200,3.200,3.200,4.000,4.000,4.000,4.000,10.000,3.000,5.000,2.000
20, VideoStreamingVideoMOSAverageValue ,2.500,2.500,2.500,2.500,3.400,3.400,3.400,3.400,4.200,4.200,4.200,4.200,10.000,3.000,5.000,2.000
21, VideoStreamingTimeto1stPictureAverageValue ,7.000,7.000,7.000,7.000,1.500,1.500,1.500,1.500,0.500,0.500,0.500,0.500,2.500,0.750,1.250,0.500
22, VideoStreamingTimeto1stPicturePoorRatio ,0.050,0.050,0.050,0.150,0.005,0.005,0.005,0.015,0.000,0.000,0.000,0.000,2.500,0.750,1.250,0.500
23, MobileApplicationTestSuccessRatio ,0.800,0.800,0.800,0.500,0.970,0.970,0.970,0.900,1.000,1.000,1.000,1.000,30.000,9.000,15.000,6.000
24, MobileApplicationTestContentTransferTimeAverageValue ,15.000,15.000,15.000,15.000,6.000,6.000,6.000,6.000,4.000,4.000,4.000,4.000,15.000,4.500,7.500,3.000
